date,open,high,low,close,volume,trade_count,vwap
2021-09-30,143.68,144.378,141.28,141.5,87999283,633651,142.402753
2021-10-01,141.8,142.92,139.1101,142.65,94529261,728237,141.10548
2021-10-04,141.76,142.21,138.27,139.14,97769370,823678,139.292125
2021-10-05,139.5,142.24,139.36,141.11,80661888,561145,140.991952
2021-10-06,139.42,142.15,138.37,142.0,82429201,604013,140.383736
2021-10-07,143.0,144.215,142.72,143.29,61607494,449730,143.665565
2021-10-08,144.02,144.1781,142.56,142.9,58509253,411070,143.175806
2021-10-11,142.18,144.81,141.81,142.81,64212369,397255,143.673959
2021-10-12,143.25,143.25,141.0401,141.51,72590122,522265,141.858258
2021-10-13,141.21,141.4,139.2,140.91,78993696,595432,140.361873
2021-10-14,142.08,143.88,141.51,143.76,69696591,445633,143.216982
2021-10-15,144.13,144.895,143.51,144.84,67393128,426181,144.320565
2021-10-18,143.45,146.84,143.16,146.55,84758465,537141,145.422312
2021-10-19,147.0,149.17,146.55,148.76,75839014,528624,148.327299
2021-10-20,148.74,149.7539,148.12,149.26,57882306,433775,149.091132
2021-10-21,148.8,149.64,147.87,149.48,61019837,414768,149.029821
2021-10-22,149.75,150.18,148.64,148.69,57981305,430636,149.298567
2021-10-25,148.7,149.37,147.6211,148.64,50142123,420020,148.505424
2021-10-26,149.33,150.84,149.0101,149.32,60311901,454828,149.591245
2021-10-27,149.32,149.73,148.49,148.85,55537900,402620,149.119636
2021-10-28,149.72,153.165,149.72,152.57,99560662,745269,151.590038
2021-10-29,147.05,149.94,146.4128,149.8,124268949,858642,148.328795
2021-11-01,148.86,149.7,147.8,148.96,74197856,526361,148.811062
2021-11-02,148.68,151.57,148.65,150.02,68997660,516238,150.357299
2021-11-03,150.42,151.97,149.82,151.49,54426861,398298,150.916719
2021-11-04,151.56,152.43,150.64,150.96,60426854,457978,151.397186
2021-11-05,151.89,152.2,150.06,151.28,66030127,424170,151.094888
2021-11-08,151.49,151.57,150.16,150.44,55036579,416563,150.818531
2021-11-09,150.15,151.428,150.0601,150.81,56704383,454181,150.792084
2021-11-10,150.0,150.13,147.85,147.92,65096440,543109,148.603723
2021-11-11,149.0,149.43,147.681,147.87,40994601,338545,148.166831
2021-11-12,148.4,150.4,147.48,149.99,63761050,404156,149.353718
2021-11-15,150.29,151.88,149.43,150.0,59234026,421708,150.288375
2021-11-16,150.0,151.488,149.34,151.0,59100179,388658,150.696521
2021-11-17,151.0,155.0,150.99,153.49,88751007,625494,153.5368
2021-11-18,153.7,158.67,153.05,157.87,137760583,864456,156.326663
2021-11-19,157.87,161.02,156.5328,160.55,117253295,816415,159.573521
2021-11-22,161.63,165.7,161.0,161.02,117445075,890126,163.589564
2021-11-23,160.97,161.8,159.0601,161.41,95957240,711517,160.340247
2021-11-24,160.75,162.14,159.64,161.94,69134865,503213,161.110011
2021-11-26,159.5,160.45,156.36,156.81,76887188,665982,157.844248
2021-11-29,159.23,161.19,158.7901,160.24,88702172,663502,160.1344
2021-11-30,159.99,165.52,159.92,165.3,173768666,1136983,163.774854
2021-12-01,167.41,170.3,164.53,164.77,152183690,1188713,167.686603
2021-12-02,158.72,164.2,157.8,163.76,136455929,1159589,161.827933
2021-12-03,163.95,164.96,159.72,161.84,117883662,949485,161.823731
2021-12-06,164.28,167.8799,164.28,165.32,107438722,839749,165.823381
2021-12-07,169.1,171.58,168.34,171.18,120310913,833709,170.560878
2021-12-08,172.0,175.96,170.7,175.08,116911182,870422,174.017343
2021-12-09,174.84,176.75,173.92,174.56,108624053,782999,175.278668
2021-12-10,175.14,179.63,174.69,179.45,115269420,854277,177.272125
2021-12-13,181.0,182.13,175.53,175.74,152292350,1145526,178.616878
2021-12-14,175.3,177.74,172.21,174.33,139245638,984238,174.400795
2021-12-15,175.16,179.5,172.3108,179.3,130901929,935166,176.077737
2021-12-16,179.15,181.14,170.75,172.26,150275095,1200767,174.408373
2021-12-17,170.0,173.47,169.69,171.14,195870137,993390,171.26671
2021-12-20,168.13,170.58,167.46,169.75,104710717,788660,169.294262
2021-12-21,171.68,173.2,169.12,172.99,91119804,650507,171.481672
2021-12-22,172.99,175.86,172.15,175.64,92615331,642864,174.323988
2021-12-23,175.83,176.8499,175.27,176.28,68325906,502228,176.147565
2021-12-27,177.1,180.42,177.07,180.33,74928619,629427,179.056781
2021-12-28,180.2,181.33,178.53,179.29,79103834,631315,179.707003
2021-12-29,179.3,180.63,178.14,179.38,62325923,491575,179.455692
2021-12-30,179.59,180.57,178.09,178.2,59770363,498610,179.374496
2021-12-31,178.0,179.23,177.26,177.57,64038545,451475,177.800284
